"","gene_id","log2FoldChange","pvalue","padj","FC","direction","prob","miRNA_family","maxinternum"
"67","hsa-mir-196b",2.26786104415838,1.82994268510566e-09,8.07823382701249e-09,4.81608563238901,"up","mir-196","miR-196-5p",4
"68","hsa-mir-199a-1",2.58137666956354,2.47316449426546e-28,3.60759429489593e-27,5.98510546537482,"up","mir-199","miR-199-3p",4
"69","hsa-mir-199a-1",2.58137666956354,2.47316449426546e-28,3.60759429489593e-27,5.98510546537482,"up","mir-199","miR-199-5p",4
"70","hsa-mir-199a-2",2.85548874799981,9.69406751389936e-33,2.03272478182077e-31,7.23748647962152,"up","mir-199","miR-199-3p",4
"71","hsa-mir-199a-2",2.85548874799981,9.69406751389936e-33,2.03272478182077e-31,7.23748647962152,"up","mir-199","miR-199-5p",4
"72","hsa-mir-199b",3.4727356816564,1.03517277517825e-43,4.63067288096403e-42,11.1019075684865,"up","mir-199","miR-199-3p",4
"73","hsa-mir-199b",3.4727356816564,1.03517277517825e-43,4.63067288096403e-42,11.1019075684865,"up","mir-199","miR-199-5p",4
"74","hsa-mir-19a",8.30166482396149,9.66971419687819e-24,1.13831196949215e-22,315.536879278534,"up","mir-19","miR-19-3p",5
"75","hsa-mir-19b-1",6.8348868386109,5.56917647253666e-37,1.43727592810465e-35,114.157895874881,"up","mir-19","miR-19-3p",5
"76","hsa-mir-19b-2",7.56296128629349,1.86968496764396e-29,2.91757817043976e-28,189.094197860711,"up","mir-19","miR-19-3p",5
"77","hsa-mir-200a",1.83604364958868,2.60321548565818e-09,1.13425817589392e-08,3.5702959056645,"up","mir-200","miR-200bc-3p=429-3p",4
"78","hsa-mir-200b",2.04517100539837,3.36486148068231e-09,1.42900129970749e-08,4.12722189570647,"up","mir-200","miR-200bc-3p=429-3p",4
"79","hsa-mir-203a",4.71939388433669,4.58961373393873e-30,7.51129467188509e-29,26.343842458234,"up","mir-203","miR-203-3p_1",5
"80","hsa-mir-203a",4.71939388433669,4.58961373393873e-30,7.51129467188509e-29,26.343842458234,"up","mir-203","miR-203-3p_2",5
"81","hsa-mir-203b",6.1473873736194,2.73708091808074e-21,2.91520840640028e-20,70.8839636876245,"up","mir-203","miR-203-3p_1",5
"82","hsa-mir-203b",6.1473873736194,2.73708091808074e-21,2.91520840640028e-20,70.8839636876245,"up","mir-203","miR-203-3p_2",5
"83","hsa-mir-205",-2.71053022055547,0.00162343547627366,0.00365545370664304,6.54562167911253,"down","mir-205","miR-205-5p",6
