survival,gene_id,mmu-miR,,miRNA_family,log2FoldChange,pvalue,padj,FC,direction,prob,maxinternum
1,hsa-mir-26a-2,"mmu-miR-26a-5p +
mmu-miR-26a-2-3p -",,miR-26-5p,2.582038264,2.68E-24,3.27E-23,5.98785076,up,mir-26,4
1,hsa-mir-26b,"mmu-miR-26b-3p -
mmu-miR-26b-5p +",,miR-26-5p,2.713682151,2.94E-30,5.07E-29,6.559937868,up,mir-26,4
0.06,hsa-mir-27a,"mmu-miR-27a-5p -
mmu-miR-27a-3p -",,miR-27-3p,2.869529637,2.77E-32,5.47E-31,7.308268493,up,mir-27,10
1,hsa-mir-27b,"mmu-miR-27b-5p -
mmu-miR-27b-3p +",miR-27-3p,miR-27-3p,1.780810537,5.48E-07,1.85E-06,3.436191729,up,mir-27,10
0,hsa-mir-31,,,miR-31-5p,4.326821019,1.22E-06,3.96E-06,20.06794548,up,mir-31,3
1,hsa-mir-338,"mmu-miR-338-3p  +
mmu-miR-338-5p -
mmu-miR-3065-5p -
mmu-miR-3065-3p -",miR-338-3p,miR-338-3p,3.824585601,8.22E-10,3.73E-09,14.16821005,up,mir-338,3
0,hsa-mir-33a,,,miR-33-5p,3.011430844,1.75E-13,1.12E-12,8.063637837,up,mir-33,4
0,hsa-mir-33b,,,miR-33-5p,3.034782632,4.86E-06,1.51E-05,8.195219734,up,mir-33,4
1,hsa-mir-34a,"mmu-miR-34a-5p +
mmu-miR-34a-3p -",miR-34-5p=449-5p,miR-34-5p=449-5p,3.027973911,2.30E-14,1.59E-13,8.156633961,up,mir-34,3
0,hsa-mir-34b,,,miR-34-5p=449-5p,2.14502102,0.022006673,0.040791374,4.422987055,up,mir-34,3
0.065,hsa-mir-375,"mmu-miR-375-3p +
mmu-miR-375-5p -",miR-375-3p,miR-375-3p,-2.962268129,8.52E-16,6.28E-15,7.793482454,down,mir-375,4
1,hsa-mir-425,"mmu-miR-425-5p +
mmu-miR-425-3p -",miR-425-5p=489-3p,miR-425-5p=489-3p,1.288573842,8.00E-05,0.000221757,2.442864499,up,mir-425,10
1,hsa-mir-7-1,"mmu-miR-7a-5p +
mmu-miR-7b-5p +
mmu-miR-7a-1-3p -",miR-7-5p,miR-7-5p,3.22675698,7.32E-20,6.83E-19,9.361612049,up,mir-7,5
0.053,hsa-mir-7-2,"mmu-miR-7a-5p +
mmu-miR-7b-5p + ",,miR-7-5p,5.208008658,1.86E-08,7.42E-08,36.96296692,up,mir-7,5
1,hsa-mir-7-3,"mmu-miR-7a-5p +
mmu-miR-7b-5p +",,miR-7-5p,4.637698061,3.86E-07,1.33E-06,24.89351518,up,mir-7,5
0,hsa-mir-96,,,miR-96-5p,5.851694763,9.37E-14,6.10E-13,57.74782733,up,mir-96,3
